file,RUL
CY35-05_1-#2_490.csv,61
CY45-05_1-#28_62.csv,652
CY45-05_1-#25_175.csv,555
CY35-05_1-#2_382.csv,169
CY45-05_1-#22_210.csv,363
CY45-05_1-#24_565.csv,148
CY45-05_1-#26_299.csv,406
CY45-05_1-#27_573.csv,78
CY25-025_1-#7_164.csv,98
CY45-05_1-#22_497.csv,76
CY45-05_1-#24_293.csv,420
CY45-05_1-#24_536.csv,177
CY45-05_1-#28_225.csv,489
CY45-05_1-#28_567.csv,147
CY35-05_1-#2_14.csv,537
CY45-05_1-#25_501.csv,229
CY25-05_1-#18_145.csv,42
CY45-05_1-#27_593.csv,58
CY45-05_1-#25_577.csv,153
CY25-025_1-#7_225.csv,37
CY45-05_1-#26_130.csv,575
CY45-05_1-#26_669.csv,36
CY45-05_1-#27_487.csv,164
CY25-05_1-#18_51.csv,136
CY35-05_1-#2_416.csv,135
CY45-05_1-#24_699.csv,14
CY45-05_1-#27_480.csv,171
CY45-05_1-#27_455.csv,196
CY45-05_1-#25_453.csv,277
CY45-05_1-#27_542.csv,109
CY45-05_1-#24_625.csv,88
CY35-05_1-#2_225.csv,326
CY45-05_1-#26_677.csv,28
CY45-05_1-#24_370.csv,343
CY45-05_1-#24_513.csv,200
CY45-05_1-#28_610.csv,104
CY25-05_1-#17_164.csv,29
CY45-05_1-#22_211.csv,362
CY35-05_1-#2_82.csv,469
CY45-05_1-#24_245.csv,468
CY35-05_1-#2_386.csv,165
CY45-05_1-#27_484.csv,167
CY45-05_1-#25_187.csv,543
CY45-05_1-#26_386.csv,319
CY45-05_1-#28_705.csv,9
CY45-05_1-#26_390.csv,315
CY45-05_1-#25_249.csv,481
CY45-05_1-#26_584.csv,121
CY45-05_1-#28_7.csv,707
CY25-05_1-#17_96.csv,97
CY45-05_1-#27_585.csv,66
CY45-05_1-#24_33.csv,680
CY45-05_1-#28_157.csv,557
CY45-05_1-#24_490.csv,223
CY25-05_1-#16_99.csv,63
CY35-05_1-#2_125.csv,426
CY45-05_1-#27_367.csv,284
CY25-05_1-#18_47.csv,140
CY45-05_1-#26_381.csv,324
CY45-05_1-#24_624.csv,89
CY45-05_1-#22_399.csv,174
CY25-05_1-#17_90.csv,103
CY45-05_1-#22_402.csv,171
CY45-05_1-#25_275.csv,455
CY45-05_1-#25_393.csv,337
CY45-05_1-#22_301.csv,272
CY45-05_1-#26_54.csv,651
CY35-05_1-#2_237.csv,314
CY45-05_1-#24_169.csv,544
CY45-05_1-#24_403.csv,310
CY45-05_1-#27_32.csv,619
CY45-05_1-#25_682.csv,48
CY45-05_1-#25_564.csv,166
CY25-05_1-#17_80.csv,113
CY45-05_1-#25_325.csv,405
CY45-05_1-#27_607.csv,44
CY45-05_1-#22_107.csv,466
CY45-05_1-#27_310.csv,341
CY45-05_1-#25_635.csv,95
CY45-05_1-#26_703.csv,2
CY45-05_1-#28_663.csv,51
CY25-05_1-#19_148.csv,6
CY25-05_1-#17_150.csv,43
CY45-05_1-#27_510.csv,141
CY45-05_1-#28_521.csv,193
CY45-05_1-#27_408.csv,243
CY45-05_1-#26_661.csv,44
CY25-025_1-#7_155.csv,107
CY25-025_1-#7_255.csv,7
CY35-05_1-#2_256.csv,295
CY45-05_1-#25_76.csv,654
CY45-05_1-#28_576.csv,138
CY45-05_1-#22_351.csv,222
CY45-05_1-#25_616.csv,114
CY35-05_1-#2_268.csv,283
CY45-05_1-#25_446.csv,284
CY45-05_1-#25_226.csv,504
CY45-05_1-#24_590.csv,123
CY45-05_1-#25_538.csv,192
CY45-05_1-#27_578.csv,73
CY35-05_1-#2_460.csv,91
CY25-05_1-#17_75.csv,118
CY45-05_1-#24_339.csv,374
CY45-05_1-#22_436.csv,137
CY45-05_1-#26_146.csv,559
CY45-05_1-#25_292.csv,438
CY45-05_1-#27_440.csv,211
CY25-05_1-#18_150.csv,37
CY45-05_1-#28_499.csv,215
CY45-05_1-#22_342.csv,231
CY25-05_1-#18_139.csv,48
CY45-05_1-#25_164.csv,566
CY45-05_1-#24_693.csv,20
CY45-05_1-#28_696.csv,18
CY45-05_1-#25_138.csv,592
CY35-05_1-#2_5.csv,546
CY45-05_1-#24_649.csv,64
CY45-05_1-#27_466.csv,185
CY45-05_1-#25_124.csv,606
CY45-05_1-#28_64.csv,650
CY45-05_1-#24_109.csv,604
CY45-05_1-#25_14.csv,716
CY45-05_1-#25_690.csv,40
CY45-05_1-#26_238.csv,467
CY25-025_1-#7_192.csv,70
CY45-05_1-#25_67.csv,663
CY45-05_1-#22_420.csv,153
CY35-05_1-#2_223.csv,328
CY25-05_1-#16_108.csv,54
CY35-05_1-#2_243.csv,308
CY45-05_1-#22_33.csv,540
CY25-05_1-#16_129.csv,33
CY45-05_1-#26_588.csv,117
CY35-05_1-#2_313.csv,238
CY45-05_1-#22_231.csv,342
CY45-05_1-#28_214.csv,500
CY45-05_1-#25_492.csv,238
CY45-05_1-#28_309.csv,405
CY45-05_1-#26_518.csv,187
CY45-05_1-#27_306.csv,345
CY45-05_1-#26_653.csv,52
CY45-05_1-#22_338.csv,235
CY25-05_1-#19_138.csv,16
CY45-05_1-#22_133.csv,440
CY25-025_1-#7_17.csv,245
CY45-05_1-#27_644.csv,7
CY45-05_1-#26_5.csv,700
CY45-05_1-#27_215.csv,436
CY45-05_1-#27_199.csv,452
CY45-05_1-#26_250.csv,455
CY45-05_1-#27_562.csv,89
CY45-05_1-#28_497.csv,217
CY45-05_1-#28_222.csv,492
CY35-05_1-#2_42.csv,509
CY45-05_1-#28_475.csv,239
CY45-05_1-#26_419.csv,286
CY25-05_1-#17_181.csv,12
CY45-05_1-#28_60.csv,654
CY45-05_1-#28_416.csv,298
CY45-05_1-#24_162.csv,551
CY45-05_1-#26_454.csv,251
CY45-05_1-#27_378.csv,273
CY45-05_1-#27_579.csv,72
CY45-05_1-#25_49.csv,681
CY45-05_1-#25_335.csv,395
CY25-05_1-#17_94.csv,99
CY45-05_1-#25_527.csv,203
CY45-05_1-#24_385.csv,328
CY25-05_1-#19_35.csv,119
CY45-05_1-#24_521.csv,192
CY45-05_1-#24_591.csv,122
CY45-05_1-#25_510.csv,220
CY45-05_1-#27_441.csv,210
CY45-05_1-#22_128.csv,445
CY45-05_1-#22_490.csv,83
CY25-05_1-#18_173.csv,14
CY35-05_1-#2_90.csv,461
CY35-05_1-#2_477.csv,74
CY45-05_1-#22_568.csv,5
CY45-05_1-#22_448.csv,125
CY45-05_1-#22_248.csv,325
CY45-05_1-#26_357.csv,348
CY45-05_1-#28_420.csv,294
CY45-05_1-#24_551.csv,162
CY25-025_1-#7_100.csv,162
CY45-05_1-#25_698.csv,32
CY45-05_1-#27_382.csv,269
CY25-05_1-#19_105.csv,49
CY45-05_1-#26_25.csv,680
